epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7337,1.8738,1.27394,1.52331,0.00904,0.0536,0.00476,0.00236,2.00037,inf,1.83938,0.000659004,0.000659004,0.000659004
2,87.6547,1.80893,0.92436,1.4563,0.53169,0.71199,0.4613,0.19456,2.06144,4.77798,1.90521,0.00131255,0.00131255,0.00131255
3,131.847,1.82805,0.90867,1.45048,0.81075,0.7775,0.82236,0.38626,1.81944,1.30786,1.60723,0.00195289,0.00195289,0.00195289
4,171.795,1.73541,0.88957,1.41085,0.85505,0.81792,0.86231,0.42311,1.77928,1.10302,1.63711,0.0019406,0.0019406,0.0019406
5,203.099,1.72632,0.82362,1.39933,0.86281,0.78459,0.84105,0.4169,1.76501,0.89272,1.58187,0.0019208,0.0019208,0.0019208
6,233.491,1.70929,0.80051,1.39625,0.85468,0.83984,0.86083,0.41334,1.75684,0.85952,1.55854,0.001901,0.001901,0.001901
7,260.893,1.6622,0.79246,1.35294,0.85799,0.75786,0.83883,0.41547,1.75013,0.99154,1.58073,0.0018812,0.0018812,0.0018812
8,288.648,1.66265,0.7831,1.36889,0.86352,0.82273,0.8734,0.42965,1.75511,0.82774,1.57838,0.0018614,0.0018614,0.0018614
9,317.984,1.75595,0.82813,1.41818,0.86494,0.83135,0.88263,0.43554,1.78818,0.87165,1.56745,0.0018416,0.0018416,0.0018416
10,346.476,1.62941,0.74757,1.3412,0.85721,0.83828,0.87427,0.42817,1.75529,0.82403,1.57225,0.0018218,0.0018218,0.0018218
11,375.796,1.62655,0.7559,1.34579,0.87969,0.83201,0.889,0.46191,1.65691,0.73951,1.50339,0.001802,0.001802,0.001802
12,410.311,1.61861,0.73102,1.3295,0.86107,0.83716,0.88426,0.43744,1.70195,0.79339,1.5533,0.0017822,0.0017822,0.0017822
13,437.291,1.60322,0.72253,1.34037,0.87056,0.85052,0.89571,0.45991,1.67687,0.80111,1.52521,0.0017624,0.0017624,0.0017624
14,466.306,1.60578,0.71588,1.32722,0.87737,0.86304,0.901,0.45666,1.68267,0.72695,1.51339,0.0017426,0.0017426,0.0017426
15,496.136,1.5888,0.69992,1.32437,0.8653,0.83592,0.87938,0.42135,1.76529,0.7628,1.57383,0.0017228,0.0017228,0.0017228
16,526.627,1.58205,0.69803,1.31844,0.89398,0.86518,0.90795,0.48614,1.6015,0.70139,1.47008,0.001703,0.001703,0.001703
17,553.764,1.57968,0.69485,1.32136,0.86662,0.87597,0.90932,0.47032,1.65767,0.74555,1.51449,0.0016832,0.0016832,0.0016832
18,583.94,1.58365,0.68989,1.34107,0.89383,0.85555,0.90412,0.47998,1.61951,0.70637,1.49187,0.0016634,0.0016634,0.0016634
19,613.17,1.55615,0.66256,1.31283,0.88025,0.87038,0.90889,0.48763,1.60105,0.67574,1.47563,0.0016436,0.0016436,0.0016436
20,646.294,1.59439,0.68395,1.32347,0.87976,0.84738,0.88945,0.46017,1.67262,0.69365,1.52175,0.0016238,0.0016238,0.0016238
21,676.173,1.53714,0.66572,1.30308,0.88744,0.87716,0.90686,0.48153,1.59571,0.6685,1.47092,0.001604,0.001604,0.001604
22,708.927,1.53658,0.66931,1.30457,0.88275,0.86341,0.89989,0.48021,1.60746,0.66871,1.48748,0.0015842,0.0015842,0.0015842
23,739.588,1.53652,0.6484,1.29624,0.88593,0.8648,0.91798,0.49097,1.60747,0.67158,1.47464,0.0015644,0.0015644,0.0015644
24,767.67,1.56716,0.66233,1.30821,0.90518,0.87038,0.91755,0.49193,1.5964,0.66616,1.46925,0.0015446,0.0015446,0.0015446
25,805.904,1.53285,0.63896,1.28416,0.88901,0.86873,0.90954,0.49365,1.60741,0.65816,1.47866,0.0015248,0.0015248,0.0015248
26,833.035,1.53055,0.64083,1.30495,0.87873,0.87683,0.90745,0.47881,1.62034,0.66187,1.49015,0.001505,0.001505,0.001505
27,862.123,1.53694,0.65049,1.29145,0.88993,0.87544,0.9103,0.48547,1.60782,0.6548,1.4735,0.0014852,0.0014852,0.0014852
28,892.074,1.53286,0.64979,1.30377,0.89403,0.88026,0.90955,0.48813,1.57725,0.65329,1.44949,0.0014654,0.0014654,0.0014654
29,921.707,1.49633,0.63815,1.29879,0.88927,0.86645,0.90663,0.48496,1.61361,0.67748,1.47164,0.0014456,0.0014456,0.0014456
30,954.382,1.51588,0.63825,1.29325,0.90063,0.88542,0.92238,0.49524,1.59164,0.65661,1.46181,0.0014258,0.0014258,0.0014258
31,985.39,1.50072,0.62392,1.29464,0.91193,0.86725,0.92202,0.5064,1.57364,0.64449,1.44557,0.001406,0.001406,0.001406
32,1017.86,1.52082,0.63814,1.28508,0.89716,0.88981,0.92579,0.50897,1.55575,0.63158,1.4371,0.0013862,0.0013862,0.0013862
33,1047.97,1.51571,0.63178,1.30051,0.90454,0.88964,0.92377,0.4981,1.55099,0.62793,1.44252,0.0013664,0.0013664,0.0013664
34,1075.78,1.48771,0.61462,1.28742,0.89368,0.88761,0.92492,0.49501,1.59146,0.65166,1.44991,0.0013466,0.0013466,0.0013466
35,1104.56,1.50565,0.63117,1.27133,0.90778,0.8918,0.92687,0.50745,1.56408,0.61038,1.43999,0.0013268,0.0013268,0.0013268
36,1139.05,1.47284,0.60373,1.26325,0.90042,0.88482,0.91977,0.49785,1.56802,0.6446,1.45168,0.001307,0.001307,0.001307
37,1170.36,1.49424,0.61655,1.28115,0.89137,0.88887,0.9176,0.48449,1.60834,0.68709,1.48375,0.0012872,0.0012872,0.0012872
38,1202.67,1.50307,0.62017,1.27851,0.90308,0.89256,0.92311,0.50337,1.56983,0.621,1.45556,0.0012674,0.0012674,0.0012674
39,1232.41,1.5063,0.6288,1.30689,0.89014,0.87269,0.91311,0.49892,1.56935,0.63099,1.4517,0.0012476,0.0012476,0.0012476
40,1259.32,1.46989,0.60552,1.26921,0.9057,0.88026,0.92253,0.50344,1.5736,0.62285,1.44221,0.0012278,0.0012278,0.0012278
41,1292.7,1.47278,0.60395,1.26529,0.91,0.88781,0.92819,0.51013,1.57291,0.61732,1.439,0.001208,0.001208,0.001208
42,1323.38,1.47862,0.60383,1.26406,0.90672,0.88061,0.92239,0.51492,1.54132,0.61655,1.41991,0.0011882,0.0011882,0.0011882
43,1352.11,1.44402,0.59211,1.25027,0.90286,0.90383,0.92867,0.51431,1.55965,0.60271,1.43891,0.0011684,0.0011684,0.0011684
44,1380.18,1.46359,0.5953,1.24437,0.90462,0.8941,0.92282,0.50997,1.55,0.62484,1.43848,0.0011486,0.0011486,0.0011486
45,1407,1.43929,0.58287,1.25153,0.91022,0.89711,0.92972,0.51837,1.54159,0.59516,1.43086,0.0011288,0.0011288,0.0011288
46,1435.49,1.49572,0.60548,1.27763,0.90129,0.88545,0.92058,0.49334,1.59933,0.63286,1.46585,0.001109,0.001109,0.001109
47,1480.46,1.43639,0.58504,1.24724,0.90515,0.8762,0.91588,0.50913,1.56726,0.66771,1.44008,0.0010892,0.0010892,0.0010892
48,1513.37,1.4614,0.58965,1.24426,0.89143,0.90305,0.92978,0.51265,1.58238,0.60854,1.46776,0.0010694,0.0010694,0.0010694
49,1544.14,1.4582,0.58992,1.27637,0.89694,0.90129,0.92788,0.51042,1.56131,0.62347,1.43864,0.0010496,0.0010496,0.0010496
50,1574.09,1.44319,0.58901,1.25074,0.91002,0.89188,0.92881,0.51827,1.5358,0.60492,1.41171,0.0010298,0.0010298,0.0010298
51,1603.85,1.46837,0.58592,1.26438,0.91114,0.89838,0.93556,0.52661,1.53103,0.58541,1.4234,0.00101,0.00101,0.00101
52,1632.71,1.4198,0.56569,1.23254,0.90505,0.90341,0.93378,0.51928,1.54487,0.5922,1.41709,0.0009902,0.0009902,0.0009902
53,1668.37,1.43426,0.57309,1.23915,0.90793,0.90433,0.93616,0.53625,1.51727,0.58794,1.40469,0.0009704,0.0009704,0.0009704
54,1697.88,1.41708,0.56545,1.23564,0.90798,0.90674,0.93777,0.52982,1.5284,0.58555,1.4154,0.0009506,0.0009506,0.0009506
55,1733.57,1.43372,0.56674,1.23206,0.90895,0.90693,0.93641,0.53175,1.51851,0.58945,1.40715,0.0009308,0.0009308,0.0009308
56,1760.63,1.41769,0.57109,1.23293,0.90617,0.91537,0.93951,0.53764,1.51641,0.56513,1.40955,0.000911,0.000911,0.000911
57,1789.88,1.42573,0.57311,1.25376,0.90008,0.90421,0.93138,0.5147,1.56883,0.61005,1.44538,0.0008912,0.0008912,0.0008912
58,1827.56,1.43746,0.57473,1.2319,0.91228,0.90141,0.93306,0.52669,1.53788,0.58042,1.42653,0.0008714,0.0008714,0.0008714
59,1868.05,1.4035,0.55818,1.23026,0.90841,0.9136,0.93955,0.53401,1.52403,0.57409,1.41715,0.0008516,0.0008516,0.0008516
60,1898.59,1.41754,0.56207,1.22265,0.91208,0.91492,0.94333,0.53353,1.51884,0.57047,1.41008,0.0008318,0.0008318,0.0008318
61,1928.88,1.40248,0.55922,1.22183,0.90911,0.91168,0.93856,0.52178,1.56469,0.57981,1.43539,0.000812,0.000812,0.000812
62,1959.3,1.40377,0.55784,1.22692,0.91643,0.90735,0.93908,0.53899,1.52118,0.57217,1.42064,0.0007922,0.0007922,0.0007922
63,1995.28,1.41557,0.59334,1.23526,0.91229,0.91069,0.94017,0.54232,1.50764,0.56715,1.40175,0.0007724,0.0007724,0.0007724
64,2023.81,1.39707,0.55445,1.22011,0.90788,0.9132,0.93864,0.53427,1.52655,0.56669,1.42058,0.0007526,0.0007526,0.0007526
65,2053.06,1.419,0.56527,1.24912,0.91573,0.90599,0.939,0.53891,1.52368,0.57117,1.41071,0.0007328,0.0007328,0.0007328
66,2082.29,1.37048,0.53998,1.20742,0.90791,0.91612,0.93842,0.53602,1.50207,0.57221,1.39953,0.000713,0.000713,0.000713
67,2110.01,1.39239,0.54662,1.21987,0.91867,0.90742,0.93893,0.53547,1.51448,0.57626,1.40263,0.0006932,0.0006932,0.0006932
68,2141.4,1.38053,0.54268,1.21825,0.90352,0.91105,0.93817,0.53743,1.52368,0.57398,1.4129,0.0006734,0.0006734,0.0006734
69,2169.59,1.39849,0.55177,1.22164,0.9153,0.90991,0.94156,0.54159,1.50282,0.56512,1.39584,0.0006536,0.0006536,0.0006536
70,2197.55,1.36503,0.53903,1.2041,0.91138,0.91422,0.93876,0.53649,1.51257,0.56066,1.40728,0.0006338,0.0006338,0.0006338
71,2234.31,1.36868,0.54173,1.20865,0.90952,0.91168,0.93865,0.53544,1.52698,0.56361,1.41946,0.000614,0.000614,0.000614
72,2269.09,1.37939,0.53725,1.20383,0.91511,0.91156,0.94202,0.5428,1.5129,0.56961,1.40767,0.0005942,0.0005942,0.0005942
73,2301.17,1.359,0.53127,1.21606,0.91551,0.917,0.94414,0.54265,1.51053,0.55704,1.40674,0.0005744,0.0005744,0.0005744
74,2329.77,1.35814,0.53214,1.20274,0.91462,0.91257,0.94309,0.54485,1.49763,0.56607,1.39696,0.0005546,0.0005546,0.0005546
75,2360.71,1.37169,0.54407,1.22624,0.92029,0.9094,0.94437,0.54664,1.50182,0.55726,1.40092,0.0005348,0.0005348,0.0005348
76,2398.51,1.34489,0.524,1.19042,0.92021,0.90307,0.93931,0.54494,1.51075,0.56572,1.40286,0.000515,0.000515,0.000515
77,2425.37,1.3563,0.53072,1.20148,0.91796,0.91451,0.94327,0.5483,1.50163,0.55822,1.39931,0.0004952,0.0004952,0.0004952
78,2460.26,1.3723,0.53718,1.20409,0.91875,0.91703,0.94202,0.53487,1.51825,0.56043,1.4072,0.0004754,0.0004754,0.0004754
79,2487.42,1.3492,0.52379,1.20641,0.91548,0.91266,0.94007,0.54699,1.49631,0.55197,1.39058,0.0004556,0.0004556,0.0004556
80,2517.07,1.34826,0.51881,1.19261,0.91491,0.91333,0.94019,0.54117,1.50737,0.55896,1.39342,0.0004358,0.0004358,0.0004358
81,2548.41,1.32983,0.51996,1.1945,0.92004,0.90108,0.93535,0.54378,1.50546,0.56647,1.39691,0.000416,0.000416,0.000416
82,2583.24,1.33056,0.51549,1.19368,0.91559,0.90576,0.93358,0.53458,1.52341,0.56239,1.41992,0.0003962,0.0003962,0.0003962
83,2612.61,1.35332,0.52572,1.18266,0.91666,0.91143,0.93974,0.54612,1.50323,0.55347,1.40099,0.0003764,0.0003764,0.0003764
84,2639.71,1.31836,0.51411,1.20007,0.92333,0.9113,0.93979,0.54643,1.48653,0.55139,1.38891,0.0003566,0.0003566,0.0003566
85,2667.5,1.32495,0.50916,1.18944,0.91399,0.91967,0.94277,0.54816,1.49713,0.54019,1.39895,0.0003368,0.0003368,0.0003368
86,2703.95,1.34339,0.51774,1.19813,0.92451,0.9037,0.93962,0.54767,1.49114,0.55287,1.38956,0.000317,0.000317,0.000317
87,2734.06,1.32257,0.5087,1.17531,0.91413,0.91861,0.94004,0.54961,1.4883,0.54722,1.39364,0.0002972,0.0002972,0.0002972
88,2766.07,1.33266,0.51148,1.19379,0.9184,0.91067,0.93965,0.54697,1.49571,0.54948,1.38889,0.0002774,0.0002774,0.0002774
89,2793.07,1.3028,0.50595,1.15758,0.91814,0.91713,0.94429,0.54888,1.49239,0.54366,1.3924,0.0002576,0.0002576,0.0002576
90,2824.25,1.30198,0.503,1.18274,0.92351,0.91178,0.93988,0.5473,1.49102,0.54713,1.38991,0.0002378,0.0002378,0.0002378
91,2868.4,1.32406,0.49529,1.2163,0.91845,0.91498,0.9399,0.54654,1.49603,0.54938,1.39552,0.000218,0.000218,0.000218
92,2897.34,1.30095,0.48232,1.22547,0.9219,0.91675,0.94451,0.55264,1.49702,0.54376,1.39974,0.0001982,0.0001982,0.0001982
93,2926.84,1.30155,0.47979,1.22013,0.92449,0.91376,0.9448,0.55176,1.50158,0.54565,1.39816,0.0001784,0.0001784,0.0001784
94,2953.6,1.29317,0.48564,1.20659,0.92268,0.91662,0.94363,0.55543,1.48761,0.54317,1.39318,0.0001586,0.0001586,0.0001586
95,2980.49,1.2872,0.47535,1.22126,0.92029,0.91577,0.94379,0.55518,1.49843,0.54613,1.40066,0.0001388,0.0001388,0.0001388
96,3007.33,1.29126,0.48402,1.20946,0.91544,0.92309,0.94362,0.55862,1.48935,0.5401,1.39249,0.000119,0.000119,0.000119
97,3034.21,1.27935,0.4694,1.21146,0.92093,0.9184,0.945,0.56107,1.49106,0.54289,1.38976,9.92e-05,9.92e-05,9.92e-05
98,3064.15,1.28678,0.47459,1.2221,0.91969,0.91903,0.94485,0.55786,1.49229,0.54099,1.39696,7.94e-05,7.94e-05,7.94e-05
99,3103.71,1.27571,0.4718,1.20803,0.91836,0.91865,0.94405,0.55878,1.49224,0.54171,1.3965,5.96e-05,5.96e-05,5.96e-05
100,3131.43,1.26714,0.46634,1.19829,0.91924,0.91872,0.94549,0.56257,1.48436,0.53673,1.3897,3.98e-05,3.98e-05,3.98e-05
