               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11008,             0.29889,                   0,              0.2777,             0.36341,              0.2359,            0.058842,            0.090081,             0.33783,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.077306,              0.3139,                   0,             0.22012,              0.5275,              0.1951,            0.055701,            0.080178,             0.30427,                   0,            0.040617,           0.0065257,           0.0065257
                   2,            0.068902,             0.33152,                   0,             0.60295,             0.70694,             0.65127,             0.25958,             0.05489,             0.23412,                   0,            0.010485,           0.0097277,           0.0097277
                   3,            0.062491,             0.32726,                   0,             0.46799,              0.6817,             0.54506,             0.23522,            0.053983,             0.23429,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058608,             0.30728,                   0,             0.80387,             0.75981,             0.76474,              0.3481,            0.048346,             0.22953,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053691,             0.33313,                   0,             0.74297,             0.70983,             0.77588,             0.34503,            0.055386,             0.22195,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052934,             0.30953,                   0,             0.86801,             0.83329,             0.87317,             0.41698,            0.045688,             0.25214,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050378,             0.31499,                   0,             0.83223,             0.82286,             0.85426,             0.42288,             0.04629,             0.22293,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.049895,             0.31633,                   0,             0.86581,             0.85073,             0.88286,             0.38167,            0.046416,              0.2415,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048806,             0.29988,                   0,             0.86171,             0.82903,             0.85147,             0.33937,            0.049087,             0.22625,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048052,             0.30191,                   0,             0.86063,             0.85441,             0.88487,             0.39705,            0.047491,             0.23138,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046209,             0.30105,                   0,             0.90283,             0.88127,             0.90871,             0.44679,            0.041746,             0.21898,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045669,             0.31076,                   0,             0.90243,             0.87779,             0.90329,             0.44296,            0.042688,             0.21775,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.045902,             0.31063,                   0,             0.89545,             0.89217,             0.91627,             0.46824,            0.039931,             0.22427,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04305,             0.30159,                   0,             0.90192,             0.88102,              0.9166,             0.45393,            0.042004,             0.22136,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.04319,             0.29745,                   0,             0.90386,             0.89707,             0.92235,             0.47163,            0.041124,             0.21857,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.043559,             0.28736,                   0,             0.88767,             0.87937,             0.89904,             0.43125,            0.042744,             0.22301,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043339,             0.30847,                   0,             0.90813,             0.89433,             0.92696,             0.49498,            0.039593,             0.21725,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.042679,             0.29541,                   0,             0.90152,              0.8928,             0.91807,             0.44123,            0.042008,             0.21863,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042138,             0.29438,                   0,             0.90203,             0.89363,              0.9153,             0.46561,            0.040397,             0.21578,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.04292,             0.30174,                   0,             0.90663,             0.88341,             0.91859,             0.47669,             0.04058,             0.21617,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.042098,             0.28366,                   0,             0.90572,             0.88761,              0.9178,               0.454,            0.042211,             0.21639,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.041611,             0.28519,                   0,             0.91569,             0.89865,             0.93201,              0.5095,            0.038369,             0.21342,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.040016,             0.28931,                   0,             0.91769,             0.88996,             0.92584,             0.50171,            0.038649,              0.2168,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.041465,             0.32502,                   0,             0.90912,             0.90119,             0.92892,             0.49537,            0.038741,              0.2154,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.041169,             0.27408,                   0,             0.92132,             0.89749,              0.9313,             0.50169,            0.039295,             0.21423,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.040813,             0.30713,                   0,             0.91374,             0.89787,             0.92971,             0.49546,            0.038911,             0.21677,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040235,             0.28797,                   0,             0.92323,             0.90155,             0.93565,             0.50613,            0.039297,             0.21025,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039433,              0.2737,                   0,             0.92373,             0.90015,             0.93411,             0.51433,            0.037816,             0.21422,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.038752,             0.26876,                   0,             0.91637,             0.91802,             0.93824,             0.51642,             0.03797,             0.21258,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.039353,             0.28453,                   0,             0.91445,             0.90421,              0.9312,             0.51539,            0.037598,             0.21229,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.038806,              0.2835,                   0,             0.90853,             0.90433,             0.92481,             0.49172,            0.038587,             0.21477,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.039023,             0.27858,                   0,             0.91735,             0.90535,             0.93173,             0.51747,             0.03728,             0.21347,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.038905,              0.2734,                   0,             0.91321,             0.90319,             0.92882,             0.48762,            0.039495,             0.21307,                   0,            0.006832,            0.006832,            0.006832
                  34,              0.0389,              0.2756,                   0,             0.92393,              0.9056,             0.93913,             0.52145,            0.037638,             0.21271,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.038282,             0.28508,                   0,             0.92111,             0.90251,             0.93849,             0.51209,             0.03796,             0.21444,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.038767,             0.27477,                   0,             0.92357,             0.90029,             0.93293,             0.51921,            0.037122,             0.21242,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.037613,             0.27843,                   0,             0.92038,              0.9094,             0.93906,             0.50825,            0.037878,             0.21233,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.038061,              0.2762,                   0,             0.92725,             0.91091,             0.93756,             0.52646,            0.037156,             0.20946,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.036889,             0.27197,                   0,             0.91458,              0.9113,             0.93307,             0.51143,             0.03796,              0.2123,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.037602,             0.27343,                   0,             0.91779,             0.91102,             0.93562,              0.5263,            0.036919,             0.21197,                   0,            0.006139,            0.006139,            0.006139
